<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;20/12/21;000000;293.11;293.11;285.63;288.4;79622500
SBER;D;21/12/21;000000;289.8;293.4;286.76;291.7;64919700
SBER;D;22/12/21;000000;291.83;297.23;289.23;294;63855050
SBER;D;23/12/21;000000;294.68;298.1;291.26;292.8;55531330
SBER;D;24/12/21;000000;293;294.18;289;293.89;37669750
SBER;D;27/12/21;000000;294.79;296;293.37;295.68;35728530
SBER;D;28/12/21;000000;295.84;297.55;294.18;295;37853360
SBER;D;29/12/21;000000;295.05;295.55;291.33;293.51;37668260
SBER;D;30/12/21;000000;293.61;294.89;291.52;293.49;42566850
SBER;D;03/01/22;000000;295.9;305.5;294.34;305.47;50156260
SBER;D;04/01/22;000000;305.51;310.1;301.63;304.24;53268220
SBER;D;05/01/22;000000;303.56;304.26;287;287.01;70015940
SBER;D;06/01/22;000000;286.86;295.1;281;293.92;79329410
SBER;D;10/01/22;000000;295.53;298.88;288.68;291.69;67393720
SBER;D;11/01/22;000000;292.93;293.94;288.71;291.88;58894910
SBER;D;12/01/22;000000;292.5;292.92;285.05;290.4;81815210
SBER;D;13/01/22;000000;289.69;290.37;269.9;272.5;211547650
SBER;D;14/01/22;000000;272.39;277.98;249.2;261;406232780
SBER;D;17/01/22;000000;262.2;264.01;247;257.78;248613210
SBER;D;18/01/22;000000;258.8;259.39;228.09;234.7;484049150
SBER;D;19/01/22;000000;232.89;249;221.03;244.86;360884470
SBER;D;20/01/22;000000;244.12;263;240.01;254.61;329059220
SBER;D;21/01/22;000000;252.98;259.08;246;246.9;295614320
SBER;D;24/01/22;000000;246.51;249.88;226;236.97;325615680
SBER;D;25/01/22;000000;236.99;243.55;231;239.59;232503340
SBER;D;26/01/22;000000;240.06;245.17;233.3;236.9;224800440
SBER;D;27/01/22;000000;234.99;260;233.1;254.29;301187890
SBER;D;28/01/22;000000;255.86;262;252.02;257.82;204153960
SBER;D;31/01/22;000000;258.88;269.6;258.81;269.42;156087540
SBER;D;01/02/22;000000;269.71;273.1;260.56;264.7;170357700
SBER;D;02/02/22;000000;265.8;266.91;254.52;261;170198890
SBER;D;03/02/22;000000;258.45;259.87;250.06;250.79;151127560
SBER;D;04/02/22;000000;251.99;259.74;251.91;256.53;126990670
SBER;D;07/02/22;000000;257;260.53;253.52;257.61;85547520
SBER;D;08/02/22;000000;257.61;269.9;256.52;269.8;161498400
SBER;D;09/02/22;000000;270.01;279.71;270;279.09;193232800
SBER;D;10/02/22;000000;279.21;282.3;273.67;275.2;180119880
SBER;D;11/02/22;000000;274.88;275.87;259.61;260.83;213783420
SBER;D;14/02/22;000000;256.69;259.5;245.1;256.7;357398630
SBER;D;15/02/22;000000;257.6;274;257.51;274;271473810
SBER;D;16/02/22;000000;276.88;281;274.15;277.78;195684110
